,,0.1,0.25,0.4,0.5,0.6,0.75,0.9
llmlingua,hotpotqa,12347.06,,13253.68,,13878.4,,14781.92
llmlingua,multifieldqa_en,12172.7,,12813.84,,13798.49,,13596.11
llmlingua,narrativeqa,13309.98,,16931.81,,17361.25,,17392.53
llmlingua,triviaqa,12677.03,,13796.69,,14562.44,,15839.33
random,hotpotqa,14231.33,12660.67,14247.71,13420.68,13727.43,14080.47,14739.73
random,multifieldqa_en,12064.09,12515.03,12568.96,12869.0,12940.26,13777.71,13771.34
random,narrativeqa,12937.3,14702.99,16761.5,17361.25,17392.53,17392.53,17361.25
random,triviaqa,12463.37,13079.17,13078.62,13865.51,14545.15,14911.18,15747.67
